order_date,customer_id,order_status,offer_id,loyalty_status,price,offer_value
03/06/2025,3702,Abandoned,4Y0WBIC,New,135.39,Free Shipping
29/06/2025,6905,Abandoned,4Y0WBIC,New,678.46,Free Shipping
01/06/2025,7683,Abandoned,4Y0WBIC,Occasional,252.10,Free Shipping
17/06/2025,10550,Abandoned,4Y0WBIC,Loyal,135.39,Free Shipping
18/06/2025,12922,Abandoned,4Y0WBIC,Loyal,220.57,Free Shipping
04/06/2025,13929,Abandoned,05S3TFG,Occasional,114.08,25%
18/06/2025,13929,Abandoned,05S3TFG,Occasional,127.43,25%
22/06/2025,13929,Abandoned,4Y0WBIC,Occasional,604.45,Free Shipping
09/06/2025,15155,Abandoned,05S3TFG,Occasional,120.46,25%
03/06/2025,15155,Abandoned,4Y0WBIC,Occasional,120.46,Free Shipping
13/06/2025,15570,Abandoned,4Y0WBIC,Occasional,512.70,Free Shipping
27/06/2025,17126,Abandoned,05S3TFG,New,586.39,25%
28/06/2025,18457,Abandoned,05S3TFG,Loyal,127.43,25%
10/06/2025,22375,Abandoned,4Y0WBIC,New,512.70,Free Shipping
06/06/2025,23005,Abandoned,05S3TFG,Occasional,559.43,25%
12/06/2025,23468,Abandoned,4Y0WBIC,Occasional,285.19,Free Shipping
06/06/2025,23929,Abandoned,4Y0WBIC,New,249.88,Free Shipping
07/06/2025,28602,Abandoned,4Y0WBIC,New,220.57,Free Shipping
18/06/2025,28871,Abandoned,05S3TFG,Occasional,423.04,25%
03/06/2025,29446,Abandoned,4Y0WBIC,Loyal,782.34,Free Shipping
10/06/2025,30657,Abandoned,05S3TFG,Occasional,88.44,25%
12/06/2025,30657,Abandoned,4Y0WBIC,Occasional,160.99,Free Shipping
07/06/2025,31342,Abandoned,05S3TFG,Loyal,160.99,25%
12/06/2025,31342,Abandoned,4Y0WBIC,Loyal,337.58,Free Shipping
13/06/2025,31342,Abandoned,4Y0WBIC,Loyal,337.58,Free Shipping
02/06/2025,31382,Abandoned,05S3TFG,Occasional,168.09,25%
05/06/2025,32589,Abandoned,05S3TFG,Loyal,33.65,25%
29/06/2025,32783,Abandoned,05S3TFG,Loyal,569.45,25%
04/06/2025,33685,Abandoned,4Y0WBIC,Occasional,170.98,Free Shipping
05/06/2025,34670,Abandoned,4Y0WBIC,Occasional,783.96,Free Shipping
28/06/2025,34670,Abandoned,4Y0WBIC,Occasional,284.51,Free Shipping
13/06/2025,35434,Abandoned,4Y0WBIC,Occasional,782.34,Free Shipping
24/06/2025,37982,Abandoned,4Y0WBIC,Occasional,31.03,Free Shipping
14/06/2025,43657,Abandoned,4Y0WBIC,New,635.40,Free Shipping
03/06/2025,46604,Abandoned,05S3TFG,New,497.63,25%
20/06/2025,49955,Abandoned,05S3TFG,Loyal,206.87,25%
19/06/2025,52964,Abandoned,4Y0WBIC,New,442.44,Free Shipping
13/06/2025,54226,Abandoned,05S3TFG,New,782.34,25%
16/06/2025,62888,Abandoned,4Y0WBIC,Occasional,101.39,Free Shipping
27/06/2025,63109,Abandoned,4Y0WBIC,Loyal,168.09,Free Shipping
22/06/2025,64897,Abandoned,05S3TFG,New,191.39,25%
24/06/2025,69056,Abandoned,05S3TFG,New,474.95,25%
09/06/2025,71276,Abandoned,05S3TFG,Occasional,71.29,25%
18/06/2025,71276,Abandoned,4Y0WBIC,Occasional,31.03,Free Shipping
01/06/2025,71575,Abandoned,4Y0WBIC,Loyal,120.46,Free Shipping
24/06/2025,75475,Abandoned,4Y0WBIC,Occasional,260.89,Free Shipping
17/06/2025,78565,Abandoned,05S3TFG,Occasional,179.66,25%
04/06/2025,79512,Abandoned,4Y0WBIC,Loyal,170.98,Free Shipping
05/06/2025,80439,Abandoned,05S3TFG,Loyal,323.00,25%
19/06/2025,80439,Abandoned,4Y0WBIC,Loyal,74.07,Free Shipping
15/06/2025,80498,Abandoned,05S3TFG,Loyal,96.37,25%
18/06/2025,80498,Abandoned,05S3TFG,Loyal,33.65,25%
27/06/2025,81449,Abandoned,05S3TFG,Occasional,513.23,25%
18/06/2025,82827,Abandoned,05S3TFG,Occasional,240.64,25%
25/06/2025,82827,Abandoned,05S3TFG,Occasional,559.43,25%
23/06/2025,88557,Abandoned,4Y0WBIC,New,423.04,Free Shipping
12/06/2025,89576,Abandoned,05S3TFG,New,782.34,25%
21/06/2025,93062,Abandoned,4Y0WBIC,Loyal,497.90,Free Shipping
04/06/2025,94372,Abandoned,05S3TFG,Occasional,109.31,25%
01/06/2025,96935,Abandoned,4Y0WBIC,New,635.40,Free Shipping
17/06/2025,97614,Abandoned,05S3TFG,Occasional,139.96,25%
02/06/2025,99702,Abandoned,05S3TFG,Loyal,559.43,25%
22/06/2025,103004,Abandoned,05S3TFG,New,15.63,25%
24/06/2025,103004,Abandoned,05S3TFG,New,569.35,25%
08/06/2025,104498,Abandoned,4Y0WBIC,Loyal,120.66,Free Shipping
03/06/2025,107844,Abandoned,4Y0WBIC,Loyal,109.31,Free Shipping
12/06/2025,107844,Abandoned,4Y0WBIC,Loyal,114.08,Free Shipping
26/06/2025,108831,Abandoned,05S3TFG,Loyal,702.51,25%
15/06/2025,111119,Abandoned,05S3TFG,Loyal,33.65,25%
24/06/2025,111119,Abandoned,05S3TFG,Loyal,284.51,25%
14/06/2025,111119,Abandoned,4Y0WBIC,Loyal,173.67,Free Shipping
18/06/2025,112470,Abandoned,05S3TFG,Occasional,54.07,25%
16/06/2025,112670,Abandoned,05S3TFG,Occasional,772.75,25%
01/06/2025,112670,Abandoned,4Y0WBIC,Occasional,127.43,Free Shipping
08/06/2025,114204,Abandoned,4Y0WBIC,Occasional,120.66,Free Shipping
07/06/2025,115632,Abandoned,05S3TFG,Loyal,377.77,25%
08/06/2025,115632,Abandoned,05S3TFG,Loyal,497.63,25%
27/06/2025,116472,Abandoned,05S3TFG,New,54.07,25%
